Model,MDO32
Firmware Version,1.12.15

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,8e-08
Horizontal Delay,2.71292e-07
Sample Interval,8e-10
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.2
Vertical Position,2.76
,
,
,
Label,
TIME,CH1
-1.287e-07,-0.008
-1.279e-07,-0.008
-1.271e-07,-0.008
-1.263e-07,-0.008
-1.255e-07,-0.008
-1.247e-07,-0.008
-1.239e-07,-8.88178e-17
-1.231e-07,-0.008
-1.223e-07,-0.008
-1.215e-07,-0.008
-1.207e-07,-8.88178e-17
-1.199e-07,-0.008
-1.191e-07,-8.88178e-17
-1.183e-07,-0.008
-1.175e-07,-8.88178e-17
-1.167e-07,-8.88178e-17
-1.159e-07,-8.88178e-17
-1.151e-07,-8.88178e-17
-1.143e-07,-8.88178e-17
-1.135e-07,-8.88178e-17
-1.127e-07,-0.008
-1.119e-07,-8.88178e-17
-1.111e-07,-8.88178e-17
-1.103e-07,-8.88178e-17
-1.095e-07,0.008
-1.087e-07,-8.88178e-17
-1.079e-07,0.008
-1.071e-07,-8.88178e-17
-1.063e-07,-8.88178e-17
-1.055e-07,0.008
-1.047e-07,0.008
-1.039e-07,-8.88178e-17
-1.031e-07,0.008
-1.023e-07,0.008
-1.015e-07,0.008
-1.007e-07,0.008
-9.991e-08,0.008
-9.911e-08,0.008
-9.831e-08,0.008
-9.751e-08,-8.88178e-17
-9.671e-08,0.008
-9.591e-08,0.008
-9.511e-08,0.008
-9.431e-08,0.008
-9.351e-08,-8.88178e-17
-9.271e-08,-8.88178e-17
-9.191e-08,0.008
-9.111e-08,0.008
-9.031e-08,-8.88178e-17
-8.951e-08,-0.008
-8.871e-08,-8.88178e-17
-8.791e-08,-8.88178e-17
-8.711e-08,-0.008
-8.631e-08,-8.88178e-17
-8.551e-08,-8.88178e-17
-8.471e-08,-8.88178e-17
-8.391e-08,-0.008
-8.311e-08,-8.88178e-17
-8.231e-08,-0.008
-8.151e-08,-0.008
-8.071e-08,-0.008
-7.991e-08,-0.008
-7.911e-08,-0.008
-7.831e-08,-0.008
-7.751e-08,-8.88178e-17
-7.671e-08,-8.88178e-17
-7.591e-08,-0.008
-7.511e-08,-8.88178e-17
-7.431e-08,-0.008
-7.351e-08,-0.008
-7.271e-08,-0.008
-7.191e-08,-8.88178e-17
-7.111e-08,-0.016
-7.031e-08,-0.008
-6.951e-08,-0.008
-6.871e-08,-0.016
-6.791e-08,-0.016
-6.711e-08,-0.008
-6.631e-08,-0.008
-6.551e-08,-0.008
-6.471e-08,-8.88178e-17
-6.391e-08,-8.88178e-17
-6.311e-08,-8.88178e-17
-6.231e-08,-0.008
-6.151e-08,-8.88178e-17
-6.071e-08,-8.88178e-17
-5.991e-08,-8.88178e-17
-5.911e-08,-8.88178e-17
-5.831e-08,-8.88178e-17
-5.751e-08,-0.008
-5.671e-08,-8.88178e-17
-5.591e-08,-8.88178e-17
-5.511e-08,-0.008
-5.431e-08,-8.88178e-17
-5.351e-08,-8.88178e-17
-5.271e-08,-8.88178e-17
-5.191e-08,-0.008
-5.111e-08,-8.88178e-17
-5.031e-08,-8.88178e-17
-4.951e-08,0.008
-4.871e-08,-8.88178e-17
-4.791e-08,-8.88178e-17
-4.711e-08,-8.88178e-17
-4.631e-08,-8.88178e-17
-4.551e-08,-0.008
-4.471e-08,-8.88178e-17
-4.391e-08,-8.88178e-17
-4.311e-08,-8.88178e-17
-4.231e-08,0.008
-4.151e-08,-8.88178e-17
-4.071e-08,-0.008
-3.991e-08,-8.88178e-17
-3.911e-08,-8.88178e-17
-3.831e-08,-0.008
-3.751e-08,-8.88178e-17
-3.671e-08,-0.008
-3.591e-08,-8.88178e-17
-3.511e-08,-0.008
-3.431e-08,-8.88178e-17
-3.351e-08,-0.008
-3.271e-08,-8.88178e-17
-3.191e-08,-8.88178e-17
-3.111e-08,-8.88178e-17
-3.031e-08,-8.88178e-17
-2.951e-08,-0.008
-2.871e-08,-0.008
-2.791e-08,-8.88178e-17
-2.711e-08,-8.88178e-17
-2.631e-08,-8.88178e-17
-2.551e-08,-8.88178e-17
-2.471e-08,-8.88178e-17
-2.391e-08,-8.88178e-17
-2.311e-08,-8.88178e-17
-2.231e-08,-0.008
-2.151e-08,-8.88178e-17
-2.071e-08,-8.88178e-17
-1.991e-08,-8.88178e-17
-1.911e-08,-8.88178e-17
-1.831e-08,-0.008
-1.751e-08,-8.88178e-17
-1.671e-08,-8.88178e-17
-1.591e-08,-8.88178e-17
-1.511e-08,-8.88178e-17
-1.431e-08,-8.88178e-17
-1.351e-08,-0.008
-1.271e-08,-0.008
-1.191e-08,-8.88178e-17
-1.111e-08,-0.008
-1.031e-08,-8.88178e-17
-9.508e-09,-8.88178e-17
-8.708e-09,-0.008
-7.908e-09,-0.008
-7.108e-09,-8.88178e-17
-6.308e-09,-8.88178e-17
-5.508e-09,-0.008
-4.708e-09,-0.008
-3.908e-09,-8.88178e-17
-3.108e-09,-0.024
-2.308e-09,-0.072
-1.508e-09,-0.2
-7.083e-10,-0.408
9.172e-11,-0.616
8.917e-10,-0.76
1.692e-09,-0.8
2.492e-09,-0.76
3.292e-09,-0.68
4.092e-09,-0.64
4.892e-09,-0.6
5.692e-09,-0.584
6.492e-09,-0.584
7.292e-09,-0.608
8.092e-09,-0.64
8.892e-09,-0.672
9.692e-09,-0.672
1.049e-08,-0.632
1.129e-08,-0.576
1.209e-08,-0.536
1.289e-08,-0.536
1.369e-08,-0.552
1.449e-08,-0.584
1.529e-08,-0.616
1.609e-08,-0.648
1.689e-08,-0.672
1.769e-08,-0.688
1.849e-08,-0.696
1.929e-08,-0.672
2.009e-08,-0.632
2.089e-08,-0.592
2.169e-08,-0.544
2.249e-08,-0.528
2.329e-08,-0.536
2.409e-08,-0.568
2.489e-08,-0.608
2.569e-08,-0.64
2.649e-08,-0.64
2.729e-08,-0.632
2.809e-08,-0.64
2.889e-08,-0.64
2.969e-08,-0.656
3.049e-08,-0.696
3.129e-08,-0.72
3.209e-08,-0.728
3.289e-08,-0.704
3.369e-08,-0.68
3.449e-08,-0.672
3.529e-08,-0.672
3.609e-08,-0.664
3.689e-08,-0.664
3.769e-08,-0.664
3.849e-08,-0.656
3.929e-08,-0.64
4.009e-08,-0.608
4.089e-08,-0.576
4.169e-08,-0.56
4.249e-08,-0.584
4.329e-08,-0.64
4.409e-08,-0.728
4.489e-08,-0.776
4.569e-08,-0.76
4.649e-08,-0.704
4.729e-08,-0.616
4.809e-08,-0.552
4.889e-08,-0.52
4.969e-08,-0.544
5.049e-08,-0.568
5.129e-08,-0.592
5.209e-08,-0.608
5.289e-08,-0.624
5.369e-08,-0.608
5.449e-08,-0.592
5.529e-08,-0.584
5.609e-08,-0.6
5.689e-08,-0.648
5.769e-08,-0.688
5.849e-08,-0.696
5.929e-08,-0.68
6.009e-08,-0.656
6.089e-08,-0.648
6.169e-08,-0.64
6.249e-08,-0.616
6.329e-08,-0.584
6.409e-08,-0.576
6.489e-08,-0.592
6.569e-08,-0.608
6.649e-08,-0.624
6.729e-08,-0.616
6.809e-08,-0.624
6.889e-08,-0.64
6.969e-08,-0.672
7.049e-08,-0.696
7.129e-08,-0.688
7.209e-08,-0.664
7.289e-08,-0.616
7.369e-08,-0.584
7.449e-08,-0.56
7.529e-08,-0.56
7.609e-08,-0.576
7.689e-08,-0.584
7.769e-08,-0.592
7.849e-08,-0.616
7.929e-08,-0.632
8.009e-08,-0.656
8.089e-08,-0.68
8.169e-08,-0.68
8.249e-08,-0.656
8.329e-08,-0.624
8.409e-08,-0.616
8.489e-08,-0.616
8.569e-08,-0.616
8.649e-08,-0.616
8.729e-08,-0.6
8.809e-08,-0.576
8.889e-08,-0.552
8.969e-08,-0.536
9.049e-08,-0.536
9.129e-08,-0.536
9.209e-08,-0.544
9.289e-08,-0.56
9.369e-08,-0.584
9.449e-08,-0.616
9.529e-08,-0.6
9.609e-08,-0.568
9.689e-08,-0.536
9.769e-08,-0.536
9.849e-08,-0.544
9.929e-08,-0.568
1.001e-07,-0.584
1.009e-07,-0.608
1.017e-07,-0.608
1.025e-07,-0.608
1.033e-07,-0.576
1.041e-07,-0.544
1.049e-07,-0.496
1.057e-07,-0.472
1.065e-07,-0.472
1.073e-07,-0.472
1.081e-07,-0.496
1.089e-07,-0.504
1.097e-07,-0.52
1.105e-07,-0.536
1.113e-07,-0.552
1.121e-07,-0.56
1.129e-07,-0.56
1.137e-07,-0.536
1.145e-07,-0.504
1.153e-07,-0.488
1.161e-07,-0.504
1.169e-07,-0.536
1.177e-07,-0.56
1.185e-07,-0.576
1.193e-07,-0.576
1.201e-07,-0.576
1.209e-07,-0.592
1.217e-07,-0.608
1.225e-07,-0.608
1.233e-07,-0.592
1.241e-07,-0.544
1.249e-07,-0.504
1.257e-07,-0.48
1.265e-07,-0.488
1.273e-07,-0.512
1.281e-07,-0.528
1.289e-07,-0.528
1.297e-07,-0.552
1.305e-07,-0.576
1.313e-07,-0.576
1.321e-07,-0.552
1.329e-07,-0.504
1.337e-07,-0.472
1.345e-07,-0.472
1.353e-07,-0.504
1.361e-07,-0.552
1.369e-07,-0.592
1.377e-07,-0.592
1.385e-07,-0.56
1.393e-07,-0.52
1.401e-07,-0.496
1.409e-07,-0.48
1.417e-07,-0.472
1.425e-07,-0.488
1.433e-07,-0.504
1.441e-07,-0.512
1.449e-07,-0.496
1.457e-07,-0.48
1.465e-07,-0.456
1.473e-07,-0.456
1.481e-07,-0.448
1.489e-07,-0.456
1.497e-07,-0.48
1.505e-07,-0.504
1.513e-07,-0.528
1.521e-07,-0.536
1.529e-07,-0.528
1.537e-07,-0.528
1.545e-07,-0.536
1.553e-07,-0.528
1.561e-07,-0.512
1.569e-07,-0.48
1.577e-07,-0.448
1.585e-07,-0.44
1.593e-07,-0.456
1.601e-07,-0.456
1.609e-07,-0.448
1.617e-07,-0.432
1.625e-07,-0.416
1.633e-07,-0.408
1.641e-07,-0.4
1.649e-07,-0.4
1.657e-07,-0.408
1.665e-07,-0.416
1.673e-07,-0.44
1.681e-07,-0.464
1.689e-07,-0.512
1.697e-07,-0.544
1.705e-07,-0.56
1.713e-07,-0.552
1.721e-07,-0.512
1.729e-07,-0.48
1.737e-07,-0.448
1.745e-07,-0.432
1.753e-07,-0.432
1.761e-07,-0.432
1.769e-07,-0.44
1.777e-07,-0.448
1.785e-07,-0.472
1.793e-07,-0.48
1.801e-07,-0.48
1.809e-07,-0.456
1.817e-07,-0.44
1.825e-07,-0.424
1.833e-07,-0.408
1.841e-07,-0.392
1.849e-07,-0.384
1.857e-07,-0.416
1.865e-07,-0.44
1.873e-07,-0.448
1.881e-07,-0.432
1.889e-07,-0.408
1.897e-07,-0.376
1.905e-07,-0.368
1.913e-07,-0.368
1.921e-07,-0.368
1.929e-07,-0.36
1.937e-07,-0.368
1.945e-07,-0.376
1.953e-07,-0.392
1.961e-07,-0.384
1.969e-07,-0.36
1.977e-07,-0.336
1.985e-07,-0.32
1.993e-07,-0.32
2.001e-07,-0.344
2.009e-07,-0.352
2.017e-07,-0.352
2.025e-07,-0.344
2.033e-07,-0.32
2.041e-07,-0.304
2.049e-07,-0.312
2.057e-07,-0.32
2.065e-07,-0.344
2.073e-07,-0.368
2.081e-07,-0.392
2.089e-07,-0.408
2.097e-07,-0.384
2.105e-07,-0.36
2.113e-07,-0.336
2.121e-07,-0.328
2.129e-07,-0.32
2.137e-07,-0.336
2.145e-07,-0.376
2.153e-07,-0.4
2.161e-07,-0.392
2.169e-07,-0.36
2.177e-07,-0.328
2.185e-07,-0.296
2.193e-07,-0.288
2.201e-07,-0.288
2.209e-07,-0.288
2.217e-07,-0.296
2.225e-07,-0.296
2.233e-07,-0.328
2.241e-07,-0.36
2.249e-07,-0.376
2.257e-07,-0.376
2.265e-07,-0.344
2.273e-07,-0.312
2.281e-07,-0.304
2.289e-07,-0.304
2.297e-07,-0.32
2.305e-07,-0.32
2.313e-07,-0.32
2.321e-07,-0.312
2.329e-07,-0.32
2.337e-07,-0.304
2.345e-07,-0.296
2.353e-07,-0.28
2.361e-07,-0.264
2.369e-07,-0.272
2.377e-07,-0.28
2.385e-07,-0.304
2.393e-07,-0.336
2.401e-07,-0.368
2.409e-07,-0.384
2.417e-07,-0.36
2.425e-07,-0.328
2.433e-07,-0.312
2.441e-07,-0.304
2.449e-07,-0.312
2.457e-07,-0.312
2.465e-07,-0.312
2.473e-07,-0.304
2.481e-07,-0.304
2.489e-07,-0.304
2.497e-07,-0.312
2.505e-07,-0.312
2.513e-07,-0.304
2.521e-07,-0.288
2.529e-07,-0.288
2.537e-07,-0.304
2.545e-07,-0.32
2.553e-07,-0.304
2.561e-07,-0.288
2.569e-07,-0.272
2.577e-07,-0.264
2.585e-07,-0.264
2.593e-07,-0.256
2.601e-07,-0.264
2.609e-07,-0.248
2.617e-07,-0.224
2.625e-07,-0.208
2.633e-07,-0.224
2.641e-07,-0.232
2.649e-07,-0.216
2.657e-07,-0.232
2.665e-07,-0.24
2.673e-07,-0.256
2.681e-07,-0.28
2.689e-07,-0.296
2.697e-07,-0.28
2.705e-07,-0.264
2.713e-07,-0.272
2.721e-07,-0.304
2.729e-07,-0.304
2.737e-07,-0.304
2.745e-07,-0.272
2.753e-07,-0.256
2.761e-07,-0.264
2.769e-07,-0.272
2.777e-07,-0.28
2.785e-07,-0.272
2.793e-07,-0.256
2.801e-07,-0.24
2.809e-07,-0.232
2.817e-07,-0.224
2.825e-07,-0.216
2.833e-07,-0.224
2.841e-07,-0.24
2.849e-07,-0.24
2.857e-07,-0.256
2.865e-07,-0.288
2.873e-07,-0.312
2.881e-07,-0.304
2.889e-07,-0.28
2.897e-07,-0.24
2.905e-07,-0.224
2.913e-07,-0.2
2.921e-07,-0.2
2.929e-07,-0.208
2.937e-07,-0.216
2.945e-07,-0.216
2.953e-07,-0.216
2.961e-07,-0.24
2.969e-07,-0.256
2.977e-07,-0.256
2.985e-07,-0.24
2.993e-07,-0.216
3.001e-07,-0.2
3.009e-07,-0.224
3.017e-07,-0.248
3.025e-07,-0.264
3.033e-07,-0.264
3.041e-07,-0.248
3.049e-07,-0.224
3.057e-07,-0.2
3.065e-07,-0.176
3.073e-07,-0.16
3.081e-07,-0.144
3.089e-07,-0.152
3.097e-07,-0.152
3.105e-07,-0.168
3.113e-07,-0.176
3.121e-07,-0.168
3.129e-07,-0.16
3.137e-07,-0.16
3.145e-07,-0.176
3.153e-07,-0.184
3.161e-07,-0.2
3.169e-07,-0.208
3.177e-07,-0.2
3.185e-07,-0.2
3.193e-07,-0.2
3.201e-07,-0.184
3.209e-07,-0.168
3.217e-07,-0.16
3.225e-07,-0.176
3.233e-07,-0.2
3.241e-07,-0.224
3.249e-07,-0.224
3.257e-07,-0.224
3.265e-07,-0.216
3.273e-07,-0.216
3.281e-07,-0.224
3.289e-07,-0.216
3.297e-07,-0.208
3.305e-07,-0.192
3.313e-07,-0.192
3.321e-07,-0.192
3.329e-07,-0.2
3.337e-07,-0.192
3.345e-07,-0.184
3.353e-07,-0.192
3.361e-07,-0.192
3.369e-07,-0.192
3.377e-07,-0.192
3.385e-07,-0.184
3.393e-07,-0.176
3.401e-07,-0.176
3.409e-07,-0.168
3.417e-07,-0.168
3.425e-07,-0.184
3.433e-07,-0.192
3.441e-07,-0.208
3.449e-07,-0.208
3.457e-07,-0.224
3.465e-07,-0.24
3.473e-07,-0.24
3.481e-07,-0.232
3.489e-07,-0.224
3.497e-07,-0.224
3.505e-07,-0.216
3.513e-07,-0.2
3.521e-07,-0.2
3.529e-07,-0.176
3.537e-07,-0.168
3.545e-07,-0.16
3.553e-07,-0.152
3.561e-07,-0.128
3.569e-07,-0.12
3.577e-07,-0.128
3.585e-07,-0.144
3.593e-07,-0.16
3.601e-07,-0.168
3.609e-07,-0.168
3.617e-07,-0.168
3.625e-07,-0.144
3.633e-07,-0.12
3.641e-07,-0.104
3.649e-07,-0.12
3.657e-07,-0.128
3.665e-07,-0.152
3.673e-07,-0.192
3.681e-07,-0.192
3.689e-07,-0.176
3.697e-07,-0.16
3.705e-07,-0.12
3.713e-07,-0.112
3.721e-07,-0.112
3.729e-07,-0.128
3.737e-07,-0.16
3.745e-07,-0.176
3.753e-07,-0.176
3.761e-07,-0.184
3.769e-07,-0.176
3.777e-07,-0.176
3.785e-07,-0.168
3.793e-07,-0.144
3.801e-07,-0.136
3.809e-07,-0.12
3.817e-07,-0.12
3.825e-07,-0.144
3.833e-07,-0.144
3.841e-07,-0.144
3.849e-07,-0.16
3.857e-07,-0.152
3.865e-07,-0.144
3.873e-07,-0.12
3.881e-07,-0.12
3.889e-07,-0.112
3.897e-07,-0.104
3.905e-07,-0.112
3.913e-07,-0.12
3.921e-07,-0.12
3.929e-07,-0.12
3.937e-07,-0.12
3.945e-07,-0.112
3.953e-07,-0.104
3.961e-07,-0.096
3.969e-07,-0.088
3.977e-07,-0.104
3.985e-07,-0.112
3.993e-07,-0.12
4.001e-07,-0.112
4.009e-07,-0.12
4.017e-07,-0.12
4.025e-07,-0.128
4.033e-07,-0.12
4.041e-07,-0.112
4.049e-07,-0.12
4.057e-07,-0.12
4.065e-07,-0.136
4.073e-07,-0.16
4.081e-07,-0.168
4.089e-07,-0.176
4.097e-07,-0.16
4.105e-07,-0.144
4.113e-07,-0.128
4.121e-07,-0.112
4.129e-07,-0.096
4.137e-07,-0.088
4.145e-07,-0.088
4.153e-07,-0.112
4.161e-07,-0.12
4.169e-07,-0.136
4.177e-07,-0.12
4.185e-07,-0.096
4.193e-07,-0.088
4.201e-07,-0.088
4.209e-07,-0.088
4.217e-07,-0.096
4.225e-07,-0.096
4.233e-07,-0.088
4.241e-07,-0.088
4.249e-07,-0.096
4.257e-07,-0.104
4.265e-07,-0.12
4.273e-07,-0.128
4.281e-07,-0.128
4.289e-07,-0.128
4.297e-07,-0.12
4.305e-07,-0.112
4.313e-07,-0.112
4.321e-07,-0.12
4.329e-07,-0.12
4.337e-07,-0.12
4.345e-07,-0.12
4.353e-07,-0.12
4.361e-07,-0.128
4.369e-07,-0.12
4.377e-07,-0.096
4.385e-07,-0.088
4.393e-07,-0.088
4.401e-07,-0.096
4.409e-07,-0.104
4.417e-07,-0.136
4.425e-07,-0.136
4.433e-07,-0.128
4.441e-07,-0.12
4.449e-07,-0.12
4.457e-07,-0.112
4.465e-07,-0.096
4.473e-07,-0.088
4.481e-07,-0.088
4.489e-07,-0.096
4.497e-07,-0.112
4.505e-07,-0.112
4.513e-07,-0.104
4.521e-07,-0.096
4.529e-07,-0.08
4.537e-07,-0.064
4.545e-07,-0.064
4.553e-07,-0.088
4.561e-07,-0.104
4.569e-07,-0.12
4.577e-07,-0.152
4.585e-07,-0.168
4.593e-07,-0.168
4.601e-07,-0.136
4.609e-07,-0.112
4.617e-07,-0.08
4.625e-07,-0.064
4.633e-07,-0.072
4.641e-07,-0.088
4.649e-07,-0.096
4.657e-07,-0.112
4.665e-07,-0.12
4.673e-07,-0.12
4.681e-07,-0.112
4.689e-07,-0.096
4.697e-07,-0.064
4.705e-07,-0.056
4.713e-07,-0.04
4.721e-07,-0.056
4.729e-07,-0.064
4.737e-07,-0.088
4.745e-07,-0.088
4.753e-07,-0.08
4.761e-07,-0.064
4.769e-07,-0.048
4.777e-07,-0.048
4.785e-07,-0.048
4.793e-07,-0.064
4.801e-07,-0.072
4.809e-07,-0.088
4.817e-07,-0.088
4.825e-07,-0.088
4.833e-07,-0.088
4.841e-07,-0.072
4.849e-07,-0.072
4.857e-07,-0.064
4.865e-07,-0.048
4.873e-07,-0.056
4.881e-07,-0.056
4.889e-07,-0.064
4.897e-07,-0.08
4.905e-07,-0.088
4.913e-07,-0.104
4.921e-07,-0.104
4.929e-07,-0.112
4.937e-07,-0.096
4.945e-07,-0.08
4.953e-07,-0.072
4.961e-07,-0.056
4.969e-07,-0.056
4.977e-07,-0.064
4.985e-07,-0.056
4.993e-07,-0.072
5.001e-07,-0.08
5.009e-07,-0.088
5.017e-07,-0.088
5.025e-07,-0.08
5.033e-07,-0.08
5.041e-07,-0.072
5.049e-07,-0.08
5.057e-07,-0.088
5.065e-07,-0.088
5.073e-07,-0.072
5.081e-07,-0.064
5.089e-07,-0.064
5.097e-07,-0.056
5.105e-07,-0.064
5.113e-07,-0.056
5.121e-07,-0.048
5.129e-07,-0.056
5.137e-07,-0.072
5.145e-07,-0.08
5.153e-07,-0.088
5.161e-07,-0.072
5.169e-07,-0.064
5.177e-07,-0.064
5.185e-07,-0.072
5.193e-07,-0.072
5.201e-07,-0.072
5.209e-07,-0.088
5.217e-07,-0.096
5.225e-07,-0.104
5.233e-07,-0.096
5.241e-07,-0.08
5.249e-07,-0.088
5.257e-07,-0.072
5.265e-07,-0.08
5.273e-07,-0.08
5.281e-07,-0.088
5.289e-07,-0.088
5.297e-07,-0.096
5.305e-07,-0.096
5.313e-07,-0.088
5.321e-07,-0.072
5.329e-07,-0.056
5.337e-07,-0.04
5.345e-07,-0.04
5.353e-07,-0.04
5.361e-07,-0.04
5.369e-07,-0.048
5.377e-07,-0.064
5.385e-07,-0.056
5.393e-07,-0.064
5.401e-07,-0.08
5.409e-07,-0.072
5.417e-07,-0.064
5.425e-07,-0.072
5.433e-07,-0.064
5.441e-07,-0.064
5.449e-07,-0.064
5.457e-07,-0.064
5.465e-07,-0.048
5.473e-07,-0.048
5.481e-07,-0.04
5.489e-07,-0.048
5.497e-07,-0.048
5.505e-07,-0.056
5.513e-07,-0.064
5.521e-07,-0.064
5.529e-07,-0.072
5.537e-07,-0.072
5.545e-07,-0.064
5.553e-07,-0.048
5.561e-07,-0.048
5.569e-07,-0.048
5.577e-07,-0.048
5.585e-07,-0.056
5.593e-07,-0.048
5.601e-07,-0.056
5.609e-07,-0.048
5.617e-07,-0.048
5.625e-07,-0.048
5.633e-07,-0.048
5.641e-07,-0.048
5.649e-07,-0.048
5.657e-07,-0.048
5.665e-07,-0.056
5.673e-07,-0.064
5.681e-07,-0.064
5.689e-07,-0.08
5.697e-07,-0.088
5.705e-07,-0.096
5.713e-07,-0.096
5.721e-07,-0.088
5.729e-07,-0.072
5.737e-07,-0.064
5.745e-07,-0.056
5.753e-07,-0.064
5.761e-07,-0.072
5.769e-07,-0.064
5.777e-07,-0.072
5.785e-07,-0.064
5.793e-07,-0.056
5.801e-07,-0.048
5.809e-07,-0.04
5.817e-07,-0.04
5.825e-07,-0.04
5.833e-07,-0.048
5.841e-07,-0.056
5.849e-07,-0.056
5.857e-07,-0.056
5.865e-07,-0.04
5.873e-07,-0.04
5.881e-07,-0.04
5.889e-07,-0.04
5.897e-07,-0.04
5.905e-07,-0.048
5.913e-07,-0.056
5.921e-07,-0.048
5.929e-07,-0.048
5.937e-07,-0.04
5.945e-07,-0.04
5.953e-07,-0.048
5.961e-07,-0.048
5.969e-07,-0.04
5.977e-07,-0.04
5.985e-07,-0.04
5.993e-07,-0.048
6.001e-07,-0.048
6.009e-07,-0.056
6.017e-07,-0.04
6.025e-07,-0.048
6.033e-07,-0.04
6.041e-07,-0.04
6.049e-07,-0.04
6.057e-07,-0.04
6.065e-07,-0.04
6.073e-07,-0.048
6.081e-07,-0.056
6.089e-07,-0.056
6.097e-07,-0.064
6.105e-07,-0.064
6.113e-07,-0.056
6.121e-07,-0.048
6.129e-07,-0.048
6.137e-07,-0.04
6.145e-07,-0.04
6.153e-07,-0.048
6.161e-07,-0.056
6.169e-07,-0.056
6.177e-07,-0.064
6.185e-07,-0.072
6.193e-07,-0.056
6.201e-07,-0.048
6.209e-07,-0.04
6.217e-07,-0.04
6.225e-07,-0.032
6.233e-07,-0.024
6.241e-07,-0.024
6.249e-07,-0.032
6.257e-07,-0.04
6.265e-07,-0.04
6.273e-07,-0.048
6.281e-07,-0.048
6.289e-07,-0.048
6.297e-07,-0.04
6.305e-07,-0.032
6.313e-07,-0.032
6.321e-07,-0.032
6.329e-07,-0.04
6.337e-07,-0.04
6.345e-07,-0.048
6.353e-07,-0.048
6.361e-07,-0.04
6.369e-07,-0.048
6.377e-07,-0.048
6.385e-07,-0.048
6.393e-07,-0.04
6.401e-07,-0.048
6.409e-07,-0.04
6.417e-07,-0.04
6.425e-07,-0.04
6.433e-07,-0.04
6.441e-07,-0.04
6.449e-07,-0.04
6.457e-07,-0.04
6.465e-07,-0.048
6.473e-07,-0.04
6.481e-07,-0.04
6.489e-07,-0.048
6.497e-07,-0.04
6.505e-07,-0.04
6.513e-07,-0.04
6.521e-07,-0.048
6.529e-07,-0.04
6.537e-07,-0.032
6.545e-07,-0.032
6.553e-07,-0.04
6.561e-07,-0.032
6.569e-07,-0.032
6.577e-07,-0.032
6.585e-07,-0.024
6.593e-07,-0.032
6.601e-07,-0.016
6.609e-07,-0.008
6.617e-07,-0.016
6.625e-07,-0.024
6.633e-07,-0.024
6.641e-07,-0.04
6.649e-07,-0.04
6.657e-07,-0.04
6.665e-07,-0.04
6.673e-07,-0.04
6.681e-07,-0.032
6.689e-07,-0.024
6.697e-07,-0.032
6.705e-07,-0.032

